date,state,fips,cases,deaths
2020-04-24,Lima,LIM,1253,0
2020-04-24,Lima Region,LRE,58,0
2020-04-24,Loreto,LOR,79,0
2020-04-24,Madre de Dios,MDI,3,0
2020-04-24,Moquegua,MOQ,16,0
2020-04-24,Pasco,PAS,10,0
2020-04-24,Piura,PIU,152,0
2020-04-24,Puno,PUN,17,0
2020-04-24,San Martin,SMA,13,0
2020-04-24,Tumbes,TUM,20,0
2020-04-24,Ucayali,UCA,51,0
2020-04-25,Amazonas,AMA,9,0
2020-04-25,Ancash,ANC,56,0
2020-04-25,Apurimac,APU,19,0
2020-04-25,Arequipa,ARE,24,0
2020-04-25,Ayacucho,AYA,7,0
2020-04-25,Cajamarca,CAJ,17,0
2020-04-25,Callao,CAL,170,0
2020-04-25,Cusco,CUS,11,0
2020-04-25,Huancavelica,HUA,14,0
2020-04-25,Huanuco,HCO,48,0
2020-04-25,Ica,ICA,30,0
2020-04-25,Junin,JUN,15,0
2020-04-25,La Libertad,LIB,53,0
2020-04-25,Lambayeque,LAM,136,0
2020-04-25,Lima,LIM,1327,0
2020-04-25,Lima Region,LRE,88,0
2020-04-25,Loreto,LOR,84,0
2020-04-25,Madre de Dios,MDI,7,0
2020-04-25,Moquegua,MOQ,19,0
2020-04-25,Pasco,PAS,16,0
2020-04-25,Piura,PIU,158,0
2020-04-25,Puno,PUN,20,0
2020-04-25,San Martin,SMA,29,0
2020-04-25,Tumbes,TUM,12,0
2020-04-25,Ucayali,UCA,21,0
2020-04-26,Amazonas,AMA,8,0
2020-04-26,Ancash,ANC,12,0
2020-04-26,Apurimac,APU,5,0
2020-04-26,Arequipa,ARE,4,0
2020-04-26,Ayacucho,AYA,13,0
2020-04-26,Cajamarca,CAJ,3,0
2020-04-26,Callao,CAL,67,0
2020-04-26,Cusco,CUS,1,0
